City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,thompson,55.7435,-97.8558,272.24,74,40,0.0,CA,1731278702
85,tacuarembo,-31.7333,-55.9833,291.32,71,0,2.01,UY,1731278703
86,yung shue wan,22.2333,114.1167,297.94,73,33,2.82,HK,1731278704
87,susuman,62.7833,148.1667,238.55,98,92,0.55,RU,1731278705
88,la ronge,55.1001,-105.2842,279.27,60,20,2.57,CA,1731278706
89,lazaro cardenas,17.9583,-102.2,301.89,74,43,4.22,MX,1731278668
90,rio grande,-32.035,-52.0986,292.4,79,0,6.49,BR,1731278709
91,vilyuchinsk,52.9306,158.4028,269.3,95,100,0.98,RU,1731278710
92,puerto natales,-51.7236,-72.4875,282.4,66,75,4.63,CL,1731278711
93,yoko,5.5333,12.3167,291.97,81,61,1.11,CM,1731278712
94,bukama,-9.2,25.85,294.19,98,100,0.2,CD,1731278713
95,saipan,15.1355,145.701,302.95,82,40,5.66,MP,1731278714
96,kodiak,57.79,-152.4072,276.88,93,100,7.2,US,1731278623
97,coquimbo,-29.9533,-71.3436,291.0,65,0,5.14,CL,1731278617
98,olonkinbyen,70.9221,-8.7187,274.11,97,100,7.95,SJ,1731278718
99,ajaigarh,24.9,80.2667,294.44,54,0,1.7,IN,1731278719
100,east london,-33.0153,27.9116,290.01,91,100,2.0,ZA,1731278720
101,howard springs,-12.497,131.047,303.64,70,83,2.12,AU,1731278721
102,tura,25.5198,90.2201,292.12,87,0,1.49,IN,1731278655
103,recani,31.2846,-4.2688,293.03,39,46,4.86,MA,1731278724
104,la passe,45.5549,-0.8967,288.13,73,100,3.97,FR,1731278725
105,holualoa,19.6228,-155.9522,300.12,71,40,4.63,US,1731278632
106,panji,-7.7253,114.0995,299.57,75,44,1.33,ID,1731278727
107,pinugay,14.5967,121.2623,298.89,92,100,2.44,PH,1731278728
108,vorgashor,67.5833,63.95,257.15,98,84,3.68,RU,1731278729
109,argo,37.6333,22.7333,283.03,77,22,2.67,GR,1731278730
110,tianchang,37.9981,114.0156,284.49,75,95,0.61,CN,1731278732
111,port douglas,-16.4833,145.4667,300.3,66,76,5.64,AU,1731278733
112,vadso,70.0744,29.7487,277.24,87,75,3.09,NO,1731278734
113,meridian,43.6121,-116.3915,283.12,55,75,0.45,US,1731278735
114,bubaque,11.2833,-15.8333,302.32,62,0,3.36,GW,1731278736
115,avarua,-21.2078,-159.775,299.18,61,40,4.12,CK,1731278737
116,toropets,56.4978,31.6353,273.94,96,74,0.82,RU,1731278739
117,porto-vecchio,41.591,9.2795,285.96,88,75,3.09,FR,1731278740
118,port alfred,-33.5906,26.891,290.8,74,100,2.24,ZA,1731278742
119,abu ghurayb,33.3083,44.185,292.12,68,75,2.57,IQ,1731278743
120,berdigestyakh,62.0989,126.6992,255.64,99,98,1.28,RU,1731278744
121,yicheng,31.3705,119.8703,287.65,82,0,2.17,CN,1731278746
122,sandnessjoen,66.0217,12.6316,278.21,93,75,0.0,NO,1731278747
123,kasba tadla,32.5977,-6.2684,291.87,39,0,2.5,MA,1731278748
124,hamilton,39.1834,-84.5333,291.16,92,100,5.14,US,1731278619
125,kamaishi,39.2667,141.8833,286.89,59,99,1.9,JP,1731278750
126,yamada,39.4667,141.95,285.42,61,100,1.57,JP,1731278751
127,port elizabeth,-33.918,25.5701,286.66,95,0,2.06,ZA,1731278752
128,las veredas,23.1388,-109.7075,301.46,49,0,6.17,MX,1731278754
129,rongelap,11.1635,166.8941,301.36,79,42,9.12,MH,1731278755
130,wildwood,38.5828,-90.6629,291.53,45,0,5.66,US,1731278756
131,menongue,-14.6585,17.691,291.96,86,74,2.14,AO,1731278757
132,tazacorte,28.629,-17.9293,299.34,25,0,4.63,ES,1731278758
133,saint-pierre,-21.3393,55.4781,297.97,69,0,1.54,RE,1731278759
134,anadyr,64.75,177.4833,264.43,85,40,2.0,RU,1731278760
135,petropavlovsk-kamchatsky,53.0452,158.6483,268.48,93,100,2.0,RU,1731278626
136,pacific grove,36.6177,-121.9166,293.94,64,0,3.6,US,1731278763
137,chapaev,50.2,51.1667,276.55,73,58,3.43,KZ,1731278764
138,pistoia,43.9667,10.8333,282.2,64,0,0.45,IT,1731278765
139,twon-brass,4.3151,6.2418,299.82,76,26,1.7,NG,1731278766
140,cururupu,-1.8283,-44.8683,298.15,80,4,2.06,BR,1731278767
141,peniche,39.3558,-9.3811,292.15,93,62,6.83,PT,1731278619
142,polyarnyy,69.1989,33.4478,274.81,72,99,5.66,RU,1731278678
143,enewetak,11.3474,162.3373,301.6,78,77,9.36,MH,1731278773
144,hadibu,12.65,54.0333,298.85,79,76,4.42,YE,1731278774
145,happy valley-goose bay,53.3168,-60.3315,275.32,69,20,4.12,CA,1731278775
146,yichang,30.7144,111.2847,288.38,67,0,1.04,CN,1731278777
147,nova sintra,14.8667,-24.7167,299.78,74,95,9.02,CV,1731278778
148,klyuchi,52.2667,79.1667,273.22,97,100,7.63,RU,1731278779
149,slave lake,55.2834,-114.769,277.14,52,0,3.09,CA,1731278780
150,jacmel,18.2342,-72.5347,299.58,87,100,1.73,HT,1731278781
151,codrington,-38.2667,141.9667,289.6,55,9,3.52,AU,1731278782
152,afaahiti,-17.75,-149.2833,297.69,86,100,7.15,PF,1731278623
